Position,"Track Name",Artist,Streams,URL
1,DÁKITI,"Bad Bunny",6868359,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
2,"All I Want for Christmas Is You","Mariah Carey",4425670,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
3,positions,"Ariana Grande",4223318,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
4,"LA NOCHE DE ANOCHE","Bad Bunny",3978823,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
5,"Last Christmas",Wham!,3739033,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
6,"Mood (feat. iann dior)",24kGoldn,3718937,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
7,"Therefore I Am","Billie Eilish",3568666,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
8,Dynamite,BTS,3432918,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
9,BICHOTA,"KAROL G",3269072,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
10,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",3248900,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
11,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",3178184,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
12,"Santa Tell Me","Ariana Grande",3120232,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
13,"Blinding Lights","The Weeknd",3079502,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,34+35,"Ariana Grande",2955896,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
15,"It's Beginning to Look a Lot like Christmas","Michael Bublé",2942957,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
16,"Life Goes On",BTS,2848088,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
17,"Prisoner (feat. Dua Lipa)","Miley Cyrus",2751427,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
18,"Rockin' Around The Christmas Tree","Brenda Lee",2708877,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
19,"Jingle Bell Rock","Bobby Helms",2621387,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
20,"TE MUDASTE","Bad Bunny",2600009,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
21,"Lonely (with benny blanco)","Justin Bieber",2581489,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
22,"What You Know Bout Love","Pop Smoke",2548308,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
23,"It's the Most Wonderful Time of the Year","Andy Williams",2354181,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
24,"YO VISTO ASÍ","Bad Bunny",2260196,https://open.spotify.com/track/5fROvzNghPid8mbKNDYvpJ
25,"Underneath the Tree","Kelly Clarkson",2211734,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
26,"you broke me first","Tate McRae",2167065,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
27,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",2115497,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
28,"WAP (feat. Megan Thee Stallion)","Cardi B",2102025,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
29,"Watermelon Sugar","Harry Styles",2101359,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
30,Hawái,Maluma,2080090,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
31,"HACIENDO QUE ME AMAS","Bad Bunny",2048116,https://open.spotify.com/track/26QApq0cuO9brJigr0C0W4
32,HOLIDAY,"Lil Nas X",2036972,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
33,Mistletoe,"Justin Bieber",1962188,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
34,"Head & Heart (feat. MNEK)","Joel Corry",1950019,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
35,"Holy (feat. Chance The Rapper)","Justin Bieber",1929302,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
36,"Levitating (feat. DaBaby)","Dua Lipa",1925929,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
37,Whoopty,CJ,1923078,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
38,pov,"Ariana Grande",1814569,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
39,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1803401,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
40,Heather,"Conan Gray",1782014,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
41,"Relación - Remix",Sech,1753304,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
42,"La Nota","Manuel Turizo",1749952,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
43,"Someone You Loved","Lewis Capaldi",1725875,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
44,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1662544,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
45,"Sleigh Ride","The Ronettes",1651720,https://open.spotify.com/track/46UMwpkxyIwzqhsaONm4wf
46,"BOOKER T","Bad Bunny",1643281,https://open.spotify.com/track/26w9NTiE9NGjW1ZvIOd1So
47,Wonder,"Shawn Mendes",1642347,https://open.spotify.com/track/5KCbr5ndeby4y4ggthdiAb
48,"Chica Ideal","Sebastian Yatra",1619847,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
49,"TE DESEO LO MEJOR","Bad Bunny",1609265,https://open.spotify.com/track/23XjN1s3DZC8Q9ZwuorYY4
50,"Feliz Navidad","José Feliciano",1591194,https://open.spotify.com/track/7taXf5odg9xCAZERYfyOkS
51,"Do They Know It's Christmas? - 1984 Version","Band Aid",1571136,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
52,"Vida de Rico",Camilo,1549445,https://open.spotify.com/track/73nAK3HgQK8dak83Y2WQ8F
53,"Put Your Records On","Ritt Momney",1546566,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
54,Body,"Megan Thee Stallion",1543574,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
55,"La Tóxica",Farruko,1542550,https://open.spotify.com/track/15OjBeqNX3bShsGYQbteRv
56,"Se Te Nota (with Guaynaa)","Lele Pons",1542532,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
57,"Holly Jolly Christmas","Michael Bublé",1535923,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
58,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",1531490,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
59,"Laugh Now Cry Later (feat. Lil Durk)",Drake,1528638,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
60,"Midnight Sky","Miley Cyrus",1522755,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
61,"Driving Home for Christmas - 2019 Remaster","Chris Rea",1470610,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
62,"Hawái - Remix",Maluma,1468801,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
63,"Before You Go","Lewis Capaldi",1429831,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
64,Jeans,"Justin Quiles",1426352,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
65,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",1417233,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
66,"Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","Paul McCartney",1414300,https://open.spotify.com/track/7Lbxvt42JsNSKVCaN63qhD
67,Reloj,"Rauw Alejandro",1405982,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
68,"Mi Niña",Wisin,1395915,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
69,"Take You Dancing","Jason Derulo",1385298,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
70,"Dance Monkey","Tones And I",1378696,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
71,"LA DROGA","Bad Bunny",1377465,https://open.spotify.com/track/67ACYA3UI6QMNtHX6b34wX
72,"Roses - Imanbek Remix","SAINt JHN",1367793,https://open.spotify.com/track/5f5tMrP3ZZbNtiLIHKOQLS
73,"SO DONE","The Kid LAROI",1353019,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
74,"Una Locura",Ozuna,1333710,https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU
75,"La Curiosidad","Jay Wheeler",1331903,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
76,"Parce (feat. Justin Quiles)",Maluma,1313278,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
77,"Ay, DiOs Mío!","KAROL G",1287764,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
78,"The Business",Tiësto,1287680,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
79,"Paradise (feat. Dermot Kennedy)",MEDUZA,1285960,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
80,"HOY COBRÉ","Bad Bunny",1269426,https://open.spotify.com/track/0tjZv2hChdHZCW1zFXpy1J
81,"Breaking Me",Topic,1265299,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
82,"Don't Start Now","Dua Lipa",1249531,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
83,"MALDITA POBREZA","Bad Bunny",1244509,https://open.spotify.com/track/0Lsis3LB0XAK6XlTHXaJk2
84,"Angels Like You","Miley Cyrus",1234314,https://open.spotify.com/track/1daDRI9ahBonbWD8YcxOIB
85,Golden,"Harry Styles",1233429,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
86,Sofia,Clairo,1228794,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
87,"lovely (with Khalid)","Billie Eilish",1226368,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
88,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1224244,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
89,"Train Wreck","James Arthur",1217992,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
90,"Sweater Weather","The Neighbourhood",1214229,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
91,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1213614,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
92,"Blue & Grey",BTS,1207778,https://open.spotify.com/track/0n2moJpAEWHwaPYYjkzMDl
93,"ANTES QUE SE ACABE","Bad Bunny",1204120,https://open.spotify.com/track/7kjEqI6eZ7YlFrGhxixnlN
94,"SORRY PAPI","Bad Bunny",1192460,https://open.spotify.com/track/5jZ32WOU7sqzDYbzINwMUk
95,"Fly To My Room",BTS,1179058,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
96,120,"Bad Bunny",1178099,https://open.spotify.com/track/3KJ3opyV29269SXkPrc19l
97,"Savage Love (Laxed - Siren Beat)","Jawsh 685",1163821,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
98,"death bed (coffee for your head)",Powfu,1113239,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
99,Daisy,Ashnikko,1111945,https://open.spotify.com/track/0AUvWawuP0ibk4SQ3sIZjk
100,Circles,"Post Malone",1109089,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
101,"Stuck with U (with Justin Bieber)","Ariana Grande",1101378,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
102,Despeinada,Ozuna,1100893,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
103,TRELLAS,"Bad Bunny",1095299,https://open.spotify.com/track/09WAnxdBuebQopKhJT3oZS
104,"EL MUNDO ES MÍO","Bad Bunny",1086332,https://open.spotify.com/track/36DHxTW2xdr9GG15T9oK9L
105,"Deep End",Fousheé,1084442,https://open.spotify.com/track/6HlE9t71z9DjGi7KqSyEpA
106,"Come & Go (with Marshmello)","Juice WRLD",1079995,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
107,Telepathy,BTS,1078563,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
108,"Tattoo - Remix with Camilo","Rauw Alejandro",1073485,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
109,Memories,"Maroon 5",1070716,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
110,"Lucid Dreams","Juice WRLD",1066728,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
111,goosebumps,"Travis Scott",1065288,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
112,Señorita,"Shawn Mendes",1062675,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
113,"Merry Christmas Everyone","Shakin' Stevens",1054856,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
114,"Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara)","C. Tangana",1054554,https://open.spotify.com/track/0XinBYhf1X3kdvKQHOX971
115,"Adore You","Harry Styles",1049997,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
116,"Wishing Well","Juice WRLD",1046801,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
117,"Dreams - 2004 Remaster","Fleetwood Mac",1045143,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
118,"Mood Swings (feat. Lil Tjay)","Pop Smoke",1029018,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
119,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1008896,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
120,Dis-ease,BTS,1006483,https://open.spotify.com/track/54DmTIv86D3sYdiawjULQ0
121,"The Box","Roddy Ricch",1006318,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
122,"Tyler Herro","Jack Harlow",1001763,https://open.spotify.com/track/4DuUwzP4ALMqpquHU0ltAB
123,Diamonds,"Sam Smith",996127,https://open.spotify.com/track/1hJIbOjWpid6LtnozHmzRS
